,Name,ISO,Score,Status,Last Update,Source
0,Afghanistan,AF,4.0,Do Not Travel,2019-10-22,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/afghanistan-advisory.html
1,Albania,AL,1.0,Exercise Normal Precautions,2019-07-10,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/albania-travel-advisory.html
2,Algeria,AG,2.0,Exercise Increased Caution,2019-04-09,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/algeria-travel-advisory.html
3,Andorra,AN,1.0,Exercise Normal Precautions,2019-08-27,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/andorra-travel-advisory.html
4,Angola,AO,1.0,Exercise Normal Precautions,2019-04-09,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/angola-travel-advisory.html
5,Anguilla,AV,1.0,Exercise Normal Precautions,2019-05-07,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/anguilla-travel-advisory.html
6,Antarctica,AY,2.0,Exercise Increased Caution,2019-01-10,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/antarctica-travel-advisory.html
7,Antigua and Barbuda,AC,1.0,Exercise Normal Precautions,2019-02-26,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/antigua-and-barbuda-travel-advisory.html
8,Argentina,AR,1.0,Exercise Normal Precautions,2018-12-03,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/argentina-travel-advisory.html
9,Armenia,AM,1.0,Exercise Normal Precautions,2019-12-30,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/armenia-travel-advisory.html
10,Aruba,AA,1.0,Exercise Normal Precautions,2019-01-08,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/aruba-travel-advisory.html
11,Australia,AS,1.0,Exercise Normal Precautions,2020-01-21,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/australia-travel-advisory.html
12,Austria,AU,1.0,Exercise Normal Precautions,2019-11-22,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/austria-travel-advisory.html
13,Azerbaijan,AJ,3.0,Reconsider Travel,2020-03-06,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/azerbajian-travel-advisory.html
14,Bahrain,BA,1.0,Exercise Normal Precautions,2019-05-17,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/bahrain-travel-advisory.html
15,Bangladesh,BG,2.0,Exercise Increased Caution,2019-04-09,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/bangladesh-travel-advisory.html
16,Barbados,BB,1.0,Exercise Normal Precautions,2019-03-07,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/barbados-travel-advisory.html
17,Belarus,BO,1.0,Exercise Normal Precautions,2019-10-24,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/belarus-travel-advisory.html
18,Belgium,BE,2.0,Exercise Increased Caution,2019-12-18,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/belgium-travel-advisory.html
19,Belize,BH,2.0,Exercise Increased Caution,2019-01-04,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/belizetravel-advisory.html
20,Benin,BN,1.0,Exercise Normal Precautions,2019-05-23,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/benin-travel-advisory.html
21,Bermuda,BD,1.0,Exercise Normal Precautions,2019-01-08,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/bermuda-travel-advisory.html
22,Bhutan,BT,1.0,Exercise Normal Precautions,2019-01-25,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/bhutan-travel-advisory.html
23,Bolivia,BL,2.0,Exercise Increased Caution,2020-01-06,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/bolivia-travel-advisory.html
