,Tweets,Name
0,The coronavirus ’ fit templates 9/11 invasions Afghanistan Iraq It 's different kind crisis American n't ready writes,Afghanistan
1,The man gun hand jail time memory shrapnel scars gut He said tired killing ready kill Anthony Loyd reports Kandahar Afghanistan,Afghanistan
2,Pakistan 's interior ministry said close country 's border Iran Afghanistan bid stop spread coronavirus reports AFP CautionYesPanicNo CoronavirusPandemic COVID19 CoronavirusOutbreak LIVE Updates 👇,Afghanistan
3,Afghanistan ’ Kashmir Fallout How likely US withdrawal Afghanistan impact J amp K ’ security situation Read today 's opinion piece Syed Ata Hasnain,Afghanistan
4,"Afghanistan preparing release 1,500 Taliban prisoners according decree requires insurgents commit reduction violence",Afghanistan
5,"Afghan President Ashraf Ghani signed decree facilitate release 1,500 Taliban prisoners",Afghanistan
6,The Taliban overtaken Islamic State world ’ lethal terrorists United States begins withdrawal Afghanistan according research,Afghanistan
7,President Ashraf Ghani Afghanistan ordered phased release thousands imprisoned Taliban fighters caving earlier refusal threatening derail next steps American negotiated peace plan,Afghanistan
8,Afghan government release Taliban prisoners U.N. backs push end war,Afghanistan
9,Hundreds British troops withdrawn Afghanistan mid-July first phase fragile US-Taliban peace deal The Times learnt,Afghanistan
10,UN backs US-Taliban peace deal Afghanistan highlights women 's youth minorities rights,Afghanistan
11,"After series delays Afghanistan 's president issues decree promising release 1,500 Taliban prisoners goodwill gesture get intra-Afghan negotiations started",Afghanistan
12,Hundreds British troops withdrawn Afghanistan mid-July first phase fragile US-Taliban peace deal The Times learnt,Afghanistan
13,Afghan government release Taliban prisoners U.N. backs push end war,Afghanistan
14,"Afghanistan release 5,000 Taliban prisoners violence eases paving way peace talks",Afghanistan
15,U.S. warns Taliban level violence 'not conducive peace process,Afghanistan
16,"Exclusive Afghan government release 1,500 Taliban prisoners move launch direct talks decree shows",Afghanistan
17,The UN Security Council unanimously backed US-led resolution recently signed peace deal country Afghan Taliban,Afghanistan
18,Afghanistan plans release thousands Taliban prisoners The move may help eliminate sticking point American-led peace plan,Afghanistan
19,Taliban prepare Afghan president order prisoner swap,Afghanistan
20,US commander says Taliban keeping 'their part bargain,Afghanistan
21,Taliban prepare Afghan president order prisoner swap,Afghanistan
22,The United States begun withdrawing troops Afghanistan part peace agreement struck Taliban despite collapse truce resumption airstrikes,Afghanistan
23,The United States began withdrawing troops Afghanistan U.S. military said Tuesday taking step forward peace deal Taliban,Afghanistan
24,Taliban wait Afghan president order release fighters prisoner swap,Afghanistan
25,Afghanistan conflict US begins withdrawing troops,Afghanistan
26,The U.S. military begins withdrawing troops Afghanistan step forward Trump administration 's peace deal Taliban Afghan President Ashraf Ghani also promises start releasing Taliban prisoners delay,Afghanistan
27,US begins troop withdrawal amid political chaos Afghanistan,Afghanistan
28,Women Kabul breaking taboos driving rickshaws selling food traditionally male-dominated profession Afghanistan IWD2020,Afghanistan
29,Breaking taboos Afghan women Kabul driving solar-powered rickshaws sell burgers IWD2020,Afghanistan
30,Afghan president Ghani issue decree Taliban prisoner release sources say,Afghanistan
31,Women Kabul driving solar-powered rickshaws selling burgers traditionally male-dominated profession Afghanistan IWD2020,Afghanistan
32,The inauguration ceremony Afghanistan President Ashraf Ghani disrupted sound two rockets fell nearby,Afghanistan
33,Meet Afghan women 's zero-carbon mobile food carts IWD2020,Afghanistan
34,Afghan President Ghani issue decree Taliban prisoner release week,Afghanistan
35,Afghanistan 's 'Game Thrones jeopardizes peace process,Afghanistan
36,Under terms peace agreement signed Taliban US troops withdraw within next 14 months,Afghanistan
37,Afghanistan President Ashraf Ghani ’ inauguration disrupted sound two rockets fell nearby The moment panic captured Reuters cameraman,Afghanistan
38,U.S. begins troop withdrawal Afghanistan official says,Afghanistan
39,Blasts Kabul Afghanistan ’ rival presidents sworn day,Afghanistan
40,"Over past fortnight Greek border guards repelled 38,000 migrants mainly Iran Pakistan Afghanistan many transported frontier buses laid Turkish town city councils",Afghanistan
41,Jamie Davis 30 left severe post-traumatic stress disorder following tour Afghanistan swept improvised explosive devices His widow Alicia 34 said “ He ’ tell everything get gist screa ...,Afghanistan
42,Afghanistan President Ashraf Ghani main political rival held dual inaugurations Monday sought claim rights lead nation,Afghanistan
43,Arif Aajakia Pakistani human rights activist Geneva Pakistan ’ foreign policy cornerstone terrorism amp cross-border terrorism You peace neither Afghanistan India contain Pakistan amp stop cross-border terrorism activities ANI,Afghanistan
44,Both President Ashraf Ghani chief rival Abdullah Abdullah took oath office president Afghanistan Monday marathon talks avoid split government failed,Afghanistan
